Date,Close,Open,High,Low,Volume,MM_200,RSI_14
2025-07-01,105698.28125,107144.3828125,107550.6796875,105270.2265625,44110692247,96281.7113,49.6885
2025-06-30,107135.3359375,108383.4375,108798.7890625,106759.6484375,42064804590,96260.2962,54.5023
2025-06-29,108385.5703125,107327.8203125,108526.3046875,107230.109375,35534874438,96224.5825,58.901
2025-06-28,107327.703125,107090.546875,107567.8828125,106883.9765625,30037708335,96188.6608,56.0962
2025-06-27,107088.4296875,106954.921875,107772.46875,106449.9921875,45353692675,96135.2036,55.4442
2025-06-26,106960.0,107375.0703125,108305.546875,106666.3515625,43891990613,96086.2608,55.2277
2025-06-25,107361.2578125,106047.40625,108168.3984375,105881.390625,51624120283,96056.9875,56.3528
2025-06-24,106045.6328125,105571.515625,106316.828125,104740.2421875,48822986421,96019.633,53.3544
2025-06-23,105577.7734375,100987.4765625,106116.859375,99705.75,65237759656,95988.3848,51.5845
2025-06-22,100987.140625,102212.03125,103351.6328125,98286.203125,65536997201,95946.509,38.2508
2025-06-21,102257.40625,103315.078125,104015.78125,100973.0625,38360555118,95935.2558,41.009
2025-06-20,103309.6015625,104681.03125,106539.3828125,102372.2109375,50951862476,95904.0783,43.9374
2025-06-19,104684.2890625,104886.7734375,105250.890625,103940.7734375,37333806920,95866.8037,47.6312
2025-06-18,104883.328125,104602.0703125,105581.8515625,103602.265625,47318089133,95829.7601,48.3099
2025-06-17,104601.1171875,106794.1171875,107750.1953125,103396.53125,55964092176,95787.5092,47.3809
2025-06-16,106796.7578125,105555.59375,108915.375,104997.625,50366626945,95752.0098,53.607
2025-06-15,105552.0234375,105464.84375,106157.1015625,104519.8828125,36744307742,95696.0706,50.2422
2025-06-14,105472.40625,106108.0859375,106203.7578125,104379.3671875,38007870453,95647.8303,49.882
2025-06-13,106090.96875,105924.59375,106182.546875,102822.0234375,69550440846,95580.1509,51.5743
2025-06-12,105929.0546875,108685.9140625,108780.6953125,105785.6875,54843867968,95514.5574,50.6276
2025-06-11,108686.625,110261.796875,110384.21875,108086.328125,50842662052,95476.0931,58.5015
2025-06-10,110257.234375,110295.6875,110380.125,108367.7109375,54700101509,95421.6401,63.5806
2025-06-09,110294.1015625,105793.0234375,110561.421875,105400.234375,55903193732,95365.259,63.5834
2025-06-08,105793.6484375,105617.5078125,106497.0625,105075.328125,36626232328,95305.9487,54.0579
2025-06-07,105615.625,104390.6484375,105972.7578125,103987.3125,38365033776,95248.9925,53.6457
2025-06-06,104390.34375,101574.3671875,105376.7734375,101169.5703125,48856653697,95183.0768,50.6071
2025-06-05,101575.953125,104750.78125,105936.6875,100436.8828125,57479298400,95113.6884,42.5019
2025-06-04,104731.984375,105434.3671875,105997.6953125,104232.703125,44544857105,95055.2708,51.3014
2025-06-03,105432.46875,105888.4765625,106813.578125,104920.84375,46196508367,94984.6851,53.5473
2025-06-02,105881.53125,105649.8125,105958.3125,103727.546875,45819706290,94912.7378,55.0195
2025-06-01,105652.1015625,104637.296875,105884.546875,103826.953125,37397056873,94819.9151,54.4934
2025-05-31,104638.09375,103994.71875,104927.1015625,103136.1171875,38997843858,94743.8945,51.8347
2025-05-30,103998.5703125,105646.2109375,106308.9453125,103685.7890625,57655287183,94660.8423,50.2636
2025-05-29,105641.7578125,107795.5703125,108910.046875,105374.3984375,56022752042,94584.5297,54.4043
2025-05-28,107802.328125,108992.171875,109298.2890625,106812.9296875,49155377493,94458.8114,61.242
2025-05-27,108994.640625,109440.40625,110744.2109375,107609.5546875,57450176272,94303.2952,65.1659
2025-05-26,109440.3671875,109023.78125,110376.8828125,108735.640625,45950461571,94141.2366,66.8325
2025-05-25,109035.390625,107802.2734375,109313.3046875,106683.375,47518041841,93973.515,66.1447
2025-05-24,107791.15625,107278.5078125,109454.5234375,106895.2890625,45903627163,93806.5043,64.0553
2025-05-23,107287.796875,111679.359375,111798.90625,106841.3046875,67548133399,93614.4379,63.2764
2025-05-22,111673.28125,109673.4921875,111970.171875,109285.0703125,70157575642,93416.8273,78.1525
2025-05-21,109678.078125,106791.3125,110724.4609375,106127.234375,78086364051,93201.9055,75.7106
2025-05-20,106791.0859375,105605.40625,107307.1171875,104206.515625,36515726122,93000.2025,71.6085
2025-05-19,105606.1796875,106430.53125,107068.71875,102112.6875,61761126647,92813.1228,69.4533
2025-05-18,106446.0078125,103186.953125,106597.171875,103142.6015625,49887082058,92636.031,72.9315
2025-05-17,103191.0859375,103489.2890625,103716.9453125,102659.1796875,37898552742,92465.2783,67.0027
2025-05-16,103489.2890625,103735.65625,104533.484375,103137.4765625,44386499364,92313.0947,68.4268
2025-05-15,103744.640625,103538.828125,104153.6171875,101440.8125,50408241840,92145.217,69.5873
2025-05-14,103539.4140625,104167.328125,104303.5625,102618.296875,45956071155,91966.0008,69.1788
2025-05-13,104169.8125,102812.4921875,104997.421875,101515.09375,52608876410,91783.3367,71.3408
2025-05-12,102812.953125,104106.9609375,105747.453125,100814.40625,63250475404,91595.504,69.3175
2025-05-11,104106.359375,104701.0703125,104937.9921875,103364.7421875,46285517406,91422.2871,74.2061
2025-05-10,104696.328125,102973.7109375,104961.765625,102830.484375,42276713994,91234.6046,76.7759
2025-05-09,102970.8515625,103239.125,104297.4921875,102343.09375,58198593958,91047.399,74.5827
2025-05-08,103241.4609375,97034.25,103969.5390625,96913.875,69895404397,90869.195,75.5454
2025-05-07,97032.3203125,96800.1953125,97625.8046875,95829.3359375,76983822462,90698.0018,66.1024
2025-05-06,96802.4765625,94748.3828125,96889.1796875,93399.859375,26551275827,90554.5289,65.6669
2025-05-05,94748.0546875,94319.5625,95193.1875,93566.265625,25816260327,90412.4636,61.2233
2025-05-04,94315.9765625,95877.1875,96318.921875,94173.4296875,18198688416,90275.8053,60.1742
2025-05-03,95891.796875,96904.6328125,96943.8828125,95821.2890625,15775154889,90142.4847,65.8722
2025-05-02,96910.0703125,96494.96875,97905.8984375,96375.9453125,26421924677,89998.4611,70.0121
2025-05-01,96492.3359375,94212.859375,97437.9609375,94153.6328125,32875889623,89844.1403,69.3341
2025-04-30,94207.3125,94286.46875,95249.3203125,92979.640625,28344679831,89675.7419,65.0933
2025-04-29,94284.7890625,94981.859375,95485.4140625,93796.6328125,25806129921,89520.7665,65.4108
2025-04-28,94978.75,93755.3046875,95598.4921875,92860.8046875,32363449569,89362.0048,68.0982
2025-04-27,93754.84375,94660.90625,95301.203125,93665.3984375,18090367764,89188.1896,65.9748
